domain,record_type,ip_address
conf.ws,AAAA,2606:4700:3032::6815:d81
conf.ws,AAAA,2606:4700:3036::ac43:c80e
control-panel.ws,A,77.90.25.150
control-panel.ws,A,89.36.32.132
control-panel.ws,A,94.130.200.163
control-panel.ws,AAAA,2a01:4f8:13b:2390::2
control-panel.ws,AAAA,2a0e:b107:27f9:1011::1
control-panel.ws,AAAA,2a0e:b107:27fe::3
control-panel.ws,AAAA,2a0e:b107:27fe::4
control-panel.ws,AAAA,2a14:6781:1:3f::2
cont.ws,A,93.189.147.78
cp101.ws,A,64.31.3.237
cpcs.ws,A,88.99.161.88
crackstreams.ws,A,104.21.12.207
crackstreams.ws,A,172.67.132.103
crackstreams.ws,AAAA,2606:4700:3031::ac43:8467
crackstreams.ws,AAAA,2606:4700:3036::6815:ccf
crypto-bank.ws,A,15.197.240.20
cryptocards.ws,A,104.18.39.18
cryptocards.ws,A,172.64.148.238
cryptocards.ws,AAAA,2606:4700:440b::6812:2712
cryptocards.ws,AAAA,2606:4700:440b::ac40:94ee
cuevana-3.ws,A,203.0.113.250
cuevana-3.ws,AAAA,2001:db8:1000::fa
cwer.ws,A,203.0.113.250
cwer.ws,AAAA,2001:db8:1000::fa
cwlservices.ws,A,64.70.19.203
cxyescrb.ws,A,64.70.19.203
cybermania.ws,A,203.0.113.250
cybermania.ws,AAAA,2001:db8:1000::fa
cyberpirate.ws,A,203.0.113.250
cyberpirate.ws,AAAA,2001:db8:1000::fa
dcim.ws,A,112.213.32.83
ddnb.ws,A,104.21.38.235
ddnb.ws,A,172.67.140.199
delotor.ws,A,64.70.19.203
desperate-housewives.ws,A,203.0.113.250
desperate-housewives.ws,AAAA,2001:db8:1000::fa
dino.ws,A,104.21.93.79
dino.ws,A,172.67.207.77
dino.ws,AAAA,2606:4700:3035::6815:5d4f
dino.ws,AAAA,2606:4700:3036::ac43:cf4d
dlvr.ws,A,15.197.148.33
dlvr.ws,A,3.33.130.190
dndnha.ws,A,104.21.52.93
dndnha.ws,A,172.67.197.145
dndnha.ws,AAAA,2606:4700:3030::ac43:c591
dndnha.ws,AAAA,2606:4700:3035::6815:345d
dood.ws,A,162.19.86.186
downloadlagu-gratis.ws,A,64.70.19.203
downloadming.ws,A,172.237.146.18
downloadming.ws,A,172.237.146.39
downloadming.ws,A,172.237.146.46
dramanice.ws,A,203.0.113.250
dramanice.ws,AAAA,2001:db8:1000::fa
drbokep.ws,A,203.0.113.250
drbokep.ws,AAAA,2001:db8:1000::fa
dslon.ws,A,216.150.1.1
duckload.ws,A,203.0.113.250
duckload.ws,AAAA,2001:db8:1000::fa
duel.ws,A,212.92.104.118
dyndns.ws,A,130.61.69.238
ebony-hardcore.ws,A,64.70.19.34
e-cuties.ws,A,203.0.113.250
e-cuties.ws,AAAA,2001:db8:1000::fa
electronics-tutorials.ws,A,23.48.247.236
electronics-tutorials.ws,A,23.48.247.242
elektricien.ws,A,104.21.77.239
elektricien.ws,A,172.67.213.5
elektricien.ws,AAAA,2606:4700:3030::ac43:d505
elektricien.ws,AAAA,2606:4700:3037::6815:4def
eros.ws,A,203.0.113.250
eros.ws,AAAA,2001:db8:1000::fa
erotic-movies.ws,A,64.70.19.203
eset.ws,A,193.141.65.167
espec.ws,A,104.21.39.132
espec.ws,A,172.67.145.207
espec.ws,AAAA,2606:4700:3030::ac43:91cf
espec.ws,AAAA,2606:4700:3031::6815:2784
eurofestival.ws,A,172.234.24.211
eurofestival.ws,A,172.239.57.117
evangelizo.ws,A,51.38.52.116
excellent.ws,A,104.26.0.213
excellent.ws,A,104.26.1.213
excellent.ws,A,172.67.73.203
exciter.ws,A,216.137.227.214
exmail.ws,A,77.222.62.59
extremlymtorrents.ws,A,203.0.113.250
extremlymtorrents.ws,AAAA,2001:db8:1000::fa
fanfiction.ws,A,104.21.6.30
fanfiction.ws,A,172.67.154.156
fanfiction.ws,AAAA,2606:4700:3031::6815:61e
fanfiction.ws,AAAA,2606:4700:3033::ac43:9a9c
fastlink.ws,A,104.21.90.7
fastlink.ws,A,172.67.167.126
fastlink.ws,AAAA,2606:4700:3036::ac43:a77e
fastlink.ws,AAAA,2606:4700:3037::6815:5a07
filebase.ws,A,203.0.113.250
filebase.ws,AAAA,2001:db8:1000::fa
filmix.ws,A,203.0.113.250
filmix.ws,AAAA,2001:db8:1000::fa
finage.ws,A,18.134.234.240
finam.ws,A,64.70.19.203
firebase.ws,A,64.70.19.203
firstnet.ws,A,64.70.19.203
first-school.ws,A,64.209.142.159
flixhq.ws,A,203.0.113.250
flixhq.ws,AAAA,2001:db8:1000::fa
flowww.ws,A,34.175.197.58
fmovie.ws,A,203.0.113.250
fmovie.ws,AAAA,2001:db8:1000::fa
fonds.ws,A,64.70.19.203
fortunecity.ws,A,104.21.72.155
fortunecity.ws,A,172.67.152.114
fortunecity.ws,AAAA,2606:4700:3030::6815:489b
fortunecity.ws,AAAA,2606:4700:3036::ac43:9872
fost.ws,A,193.169.105.204
frendscazino.ws,A,64.70.19.203
friendscazino.ws,A,64.70.19.203
friends-kazino.ws,A,64.70.19.203
fromshado.ws,A,116.202.26.4
futebolplayhd.ws,A,64.70.19.203
futemax.ws,A,104.21.40.19
futemax.ws,A,172.67.174.131
futemax.ws,AAAA,2606:4700:3031::ac43:ae83
futemax.ws,AAAA,2606:4700:3037::6815:2813
fxn.ws,A,67.199.248.12
fxn.ws,A,67.199.248.13
gacorbgt.ws,A,64.70.19.203
gandi.ws,A,217.70.185.130
ganjalive.ws,A,64.70.19.203
ganjaseeds.ws,A,64.70.19.203
gateio.ws,A,3.113.125.41
gateio.ws,A,3.114.14.181
gateio.ws,A,35.76.144.139
gateio.ws,A,35.76.84.11
gateio.ws,A,35.79.252.63
gateio.ws,A,52.69.158.223
gateio.ws,A,54.250.140.73
gateio.ws,A,54.65.228.207
gdz-online.ws,A,64.70.19.34
geocities.ws,A,104.26.6.14
geocities.ws,A,104.26.7.14
geocities.ws,A,172.67.68.152
getx.ws,A,64.70.19.203
gigatorrents.ws,A,94.140.115.22
gilsouros.ws,A,64.70.19.203
gn-local.ws,A,62.113.234.3
gnoss.ws,A,217.76.128.34
gofilms4u.ws,A,203.0.113.250
gofilms4u.ws,AAAA,2001:db8:1000::fa
golden-mines.ws,A,64.70.19.203
golden-tea.ws,A,64.70.19.203
goldfishka.ws,A,64.70.19.203
google.ws,A,142.250.207.3
google.ws,AAAA,2404:6800:4006:801::2003
greyarro.ws,A,165.232.98.167
growerz.ws,A,64.70.19.203
growingwirelesbrerefrommen.ws,A,64.70.19.203
grpc.ws,A,47.79.20.161
grpc.ws,AAAA,240b:4001:278:8403:ffff:d664:78d8:51bd
guides.ws,A,5.45.119.35
habboz.ws,A,104.21.68.124
habboz.ws,A,172.67.195.89
habboz.ws,AAAA,2606:4700:3031::ac43:c359
habboz.ws,AAAA,2606:4700:3033::6815:447c
hamilton.ws,A,203.7.8.100
hd1080.ws,A,64.70.19.203
hd720.ws,A,64.70.19.203
hdfilm.ws,A,64.70.19.203
hdkvquqb.ws,A,64.70.19.203
hfiiwwqm.ws,A,64.70.19.203
hidefporn.ws,A,203.0.113.250
hidefporn.ws,AAAA,2001:db8:1000::fa
hospedagemdesites.ws,A,186.202.157.79
hubdrive.ws,A,64.70.19.203
hunk.ws,A,203.0.113.250
hunk.ws,AAAA,2001:db8:1000::fa
iboard.ws,A,91.194.2.86
icebox.ws,A,51.89.125.62
icebox.ws,AAAA,2001:41d0:700:5dda:acab::62
ifresh.ws,A,64.70.19.203
imperatorcasino.ws,A,64.70.19.203
incestflix.ws,A,203.0.113.250
incestflix.ws,AAAA,2001:db8:1000::fa
incest.ws,A,203.0.113.250
incest.ws,AAAA,2001:db8:1000::fa
inet.ws,A,104.21.51.111
inet.ws,A,172.67.179.128
inet.ws,AAAA,2606:4700:3033::6815:336f
inet.ws,AAAA,2606:4700:3036::ac43:b380
intercept.ws,A,185.245.83.148
ipne.ws,A,104.21.90.237
ipne.ws,A,172.67.162.175
ipne.ws,AAAA,2606:4700:3033::6815:5aed
ipne.ws,AAAA,2606:4700:3034::ac43:a2af
irwins.ws,A,169.47.130.72
iservers.ws,A,64.70.19.203
islamicbook.ws,A,50.63.8.49
ism.ws,A,178.156.173.118
itorrent.ws,A,203.0.113.250
itorrent.ws,AAAA,2001:db8:1000::fa
jamf.ws,A,64.70.19.203
japscan.ws,A,104.21.22.50
japscan.ws,A,172.67.202.241
japscan.ws,AAAA,2606:4700:3033::ac43:caf1
japscan.ws,AAAA,2606:4700:3034::6815:1632
jetztspielen.ws,A,104.18.6.85
jetztspielen.ws,A,104.18.7.85
jetztspielen.ws,AAAA,2606:4700::6812:655
jetztspielen.ws,AAAA,2606:4700::6812:755
joykazino.ws,A,64.70.19.203
juegosjuegos.ws,A,172.66.40.187
juegosjuegos.ws,A,172.66.43.69
justgay.ws,A,203.0.113.250
