domain,record_type,ip_address
situsdewasloto.ws,A,64.70.19.203
slothaus1.ws,A,64.70.19.203
slothaus2.ws,A,64.70.19.203
smallgames.ws,A,104.26.8.68
smallgames.ws,A,104.26.9.68
smallgames.ws,A,172.67.73.7
smallgames.ws,AAAA,2606:4700:20::681a:844
smallgames.ws,AAAA,2606:4700:20::681a:944
smallgames.ws,AAAA,2606:4700:20::ac43:4907
smartspace.ws,A,139.162.11.178
soccerlive.ws,A,104.247.81.99
socialpa.ws,A,64.70.19.203
sovoc.ws,A,64.70.19.203
spore.ws,A,104.21.80.227
spore.ws,A,172.67.154.136
spore.ws,AAAA,2606:4700:3033::ac43:9a88
spore.ws,AAAA,2606:4700:3034::6815:50e3
sportv.ws,A,172.237.146.18
sportv.ws,A,172.237.146.39
sportv.ws,A,172.237.146.46
ssstiktok.ws,A,104.21.92.88
ssstiktok.ws,A,172.67.190.220
ssstiktok.ws,AAAA,2606:4700:3033::6815:5c58
ssstiktok.ws,AAAA,2606:4700:3033::ac43:bedc
sstk.ws,A,104.21.51.205
sstk.ws,A,172.67.185.225
sstk.ws,AAAA,2606:4700:3036::ac43:b9e1
sstk.ws,AAAA,2606:4700:3037::6815:33cd
startgames.ws,A,104.247.81.99
stash.ws,A,3.175.115.57
stash.ws,A,3.175.115.58
stash.ws,A,3.175.115.59
stash.ws,A,3.175.115.68
stash.ws,AAAA,2600:9000:2468:4000:2:daa:180:93a1
stash.ws,AAAA,2600:9000:2468:4800:2:daa:180:93a1
stash.ws,AAAA,2600:9000:2468:6000:2:daa:180:93a1
stash.ws,AAAA,2600:9000:2468:800:2:daa:180:93a1
stash.ws,AAAA,2600:9000:2468:8200:2:daa:180:93a1
stash.ws,AAAA,2600:9000:2468:a800:2:daa:180:93a1
stash.ws,AAAA,2600:9000:2468:b000:2:daa:180:93a1
stash.ws,AAAA,2600:9000:2468:f400:2:daa:180:93a1
stream2watch.ws,A,104.21.0.172
stream2watch.ws,A,172.67.128.36
stream2watch.ws,AAAA,2606:4700:3032::ac43:8024
stream2watch.ws,AAAA,2606:4700:3037::6815:ac
streamm4u.ws,A,203.0.113.250
streamm4u.ws,AAAA,2001:db8:1000::fa
strikeout.ws,A,104.247.81.99
sudo.ws,A,104.26.12.121
sudo.ws,A,104.26.13.121
sudo.ws,A,172.67.72.152
sudo.ws,AAAA,2606:4700:20::681a:c79
sudo.ws,AAAA,2606:4700:20::681a:d79
sudo.ws,AAAA,2606:4700:20::ac43:4898
suds.ws,A,104.21.96.129
suds.ws,A,172.67.180.250
suds.ws,AAAA,2606:4700:3030::ac43:b4fa
suds.ws,AAAA,2606:4700:3035::6815:6081
superfilmes.ws,A,64.70.19.34
superflix.ws,A,64.70.19.203
supernova.ws,A,89.125.130.33
superweb.ws,A,104.21.18.207
superweb.ws,A,172.67.183.89
superweb.ws,AAAA,2606:4700:3033::6815:12cf
superweb.ws,AAAA,2606:4700:3034::ac43:b759
supperuploadtestspeed.ws,A,64.70.19.203
swap.ws,A,104.26.4.106
swap.ws,A,104.26.5.106
swap.ws,A,172.67.68.63
swap.ws,AAAA,2606:4700:20::681a:46a
swap.ws,AAAA,2606:4700:20::681a:56a
swap.ws,AAAA,2606:4700:20::ac43:443f
sweetspot.ws,A,40.114.4.103
tabooflix.ws,A,203.0.113.250
tabooflix.ws,AAAA,2001:db8:1000::fa
takedwn.ws,A,64.70.19.203
tamilrockers.ws,A,203.0.113.250
tamilrockers.ws,AAAA,2001:db8:1000::fa
tamilyogi.ws,A,203.0.113.250
tamilyogi.ws,AAAA,2001:db8:1000::fa
taplink.ws,A,185.137.235.191
taplink.ws,A,185.137.235.222
tecnologia.ws,A,186.202.157.79
teenporn.ws,A,203.0.113.250
teenporn.ws,AAAA,2001:db8:1000::fa
tenec.ws,A,104.21.41.202
tenec.ws,A,172.67.167.35
testurl.ws,A,217.70.184.1
tg888.ws,A,203.0.113.250
tg888.ws,AAAA,2001:db8:1000::fa
thaller.ws,A,157.90.65.99
thaller.ws,AAAA,2a01:4f8:10b:1987::1
the-cinema.ws,A,172.234.24.211
the-cinema.ws,A,172.239.57.117
theproxy.ws,A,104.21.43.99
theproxy.ws,A,172.67.178.3
theproxy.ws,AAAA,2606:4700:3033::ac43:b203
theproxy.ws,AAAA,2606:4700:3037::6815:2b63
tilda.ws,A,194.48.203.15
tilda.ws,A,194.48.203.16
tilda.ws,A,194.48.203.17
tldrbox.ws,A,54.85.87.184
toonily.ws,A,203.0.113.250
toonily.ws,AAAA,2001:db8:1000::fa
topflix.ws,A,203.0.113.250
topflix.ws,AAAA,2001:db8:1000::fa
top-torrent.ws,A,203.0.113.250
top-torrent.ws,AAAA,2001:db8:1000::fa
tornado.ws,A,104.21.95.136
tornado.ws,A,172.67.144.254
tornado.ws,AAAA,2606:4700:3030::ac43:90fe
tornado.ws,AAAA,2606:4700:3034::6815:5f88
torrent.ws,A,172.234.218.95
torrent.ws,A,172.234.24.152
torrent.ws,A,172.234.24.173
torr.ws,A,172.236.116.61
torr.ws,A,172.237.159.40
torr.ws,A,172.238.172.130
trannymovies.ws,A,203.0.113.250
trannymovies.ws,AAAA,2001:db8:1000::fa
trii.ws,A,104.20.36.157
trii.ws,A,172.66.163.254
trii.ws,AAAA,2606:4700:10::6814:249d
trii.ws,AAAA,2606:4700:10::ac42:a3fe
trustedrevie.ws,A,104.21.20.223
trustedrevie.ws,A,172.67.194.181
trustedrevie.ws,AAAA,2606:4700:3030::ac43:c2b5
trustedrevie.ws,AAAA,2606:4700:3035::6815:14df
tsrv1.ws,A,203.0.113.250
tsrv1.ws,AAAA,2001:db8:1000::fa
tsrv4.ws,A,203.0.113.250
tsrv4.ws,AAAA,2001:db8:1000::fa
tubidy.ws,A,104.26.12.202
tubidy.ws,A,104.26.13.202
tubidy.ws,A,172.67.74.246
tubidy.ws,AAAA,2606:4700:20::681a:cca
tubidy.ws,AAAA,2606:4700:20::681a:dca
tubidy.ws,AAAA,2606:4700:20::ac43:4af6
turbocasino.ws,A,64.70.19.203
tvhd.ws,A,64.70.19.203
twoddl.ws,A,203.0.113.250
twoddl.ws,AAAA,2001:db8:1000::fa
unblock.ws,A,203.0.113.250
unblock.ws,AAAA,2001:db8:1000::fa
uploadhub.ws,A,104.21.78.132
uploadhub.ws,A,172.67.222.28
uploadhub.ws,AAAA,2606:4700:3032::ac43:de1c
uploadhub.ws,AAAA,2606:4700:3035::6815:4e84
url-de-test.ws,A,217.70.184.1
usagoals.ws,A,64.70.19.203
valenciapa.ws,A,178.79.138.171
valenciapa.ws,AAAA,2a01:7e00::f03c:93ff:fe41:c149
videoarama.ws,A,104.21.0.192
videoarama.ws,A,172.67.128.56
videoarama.ws,AAAA,2606:4700:3031::6815:c0
videoarama.ws,AAAA,2606:4700:3033::ac43:8038
videoara.ws,A,64.31.3.237
vinted.ws,A,64.70.19.203
vipmodels.ws,A,203.0.113.250
vipmodels.ws,AAAA,2001:db8:1000::fa
visit.ws,A,104.21.14.73
visit.ws,A,172.67.158.44
visit.ws,AAAA,2606:4700:3030::6815:e49
visit.ws,AAAA,2606:4700:3036::ac43:9e2c
vkadre.ws,A,172.236.116.61
vkadre.ws,A,172.237.159.40
vkadre.ws,A,172.238.172.130
vlmi.ws,A,103.224.182.251
vnvie.ws,A,84.195.91.189
voiranime.ws,A,104.21.58.179
voiranime.ws,A,172.67.162.105
voiranime.ws,AAAA,2606:4700:3031::6815:3ab3
voiranime.ws,AAAA,2606:4700:3036::ac43:a269
vostfree.ws,A,203.0.113.250
vostfree.ws,AAAA,2001:db8:1000::fa
vpnrevie.ws,A,151.101.131.7
vpnrevie.ws,A,151.101.195.7
vpnrevie.ws,A,151.101.3.7
vpnrevie.ws,A,151.101.67.7
vpnrevie.ws,AAAA,2a04:4e42:200::775
vpnrevie.ws,AAAA,2a04:4e42:400::775
vpnrevie.ws,AAAA,2a04:4e42:600::775
vpnrevie.ws,AAAA,2a04:4e42::775
vudeo.ws,A,103.224.182.208
vulkan24.ws,A,64.70.19.203
vulkanonline.ws,A,64.70.19.203
vulkanstars.ws,A,64.70.19.203
wduufbaueeubffgh.ws,A,64.70.19.203
webcomic.ws,A,170.249.215.130
website.ws,A,64.70.19.170
wedos.ws,A,89.221.213.45
wildcritters.ws,A,203.0.113.250
wildcritters.ws,AAAA,2001:db8:1000::fa
wingamble.ws,A,64.70.19.203
winspin.ws,A,64.70.19.203
womansanga.ws,A,45.130.41.122
womxhw.ws,A,64.70.19.203
wordsdb.ws,A,34.159.77.229
worldsport.ws,A,64.70.19.203
worm.ws,A,64.70.78.32
wowne.ws,A,104.21.57.213
wowne.ws,A,172.67.167.8
wowne.ws,AAAA,2606:4700:3031::6815:39d5
wowne.ws,AAAA,2606:4700:3031::ac43:a708
ws.ws,A,64.70.19.170
x1337x.ws,A,203.0.113.250
x1337x.ws,AAAA,2001:db8:1000::fa
x-film.ws,A,104.21.20.151
x-film.ws,A,172.67.193.39
x-film.ws,AAAA,2606:4700:3032::6815:1497
x-film.ws,AAAA,2606:4700:3034::ac43:c127
xlink.ws,A,104.21.70.21
xlink.ws,A,172.67.217.240
xlink.ws,AAAA,2606:4700:3035::6815:4615
xlink.ws,AAAA,2606:4700:3036::ac43:d9f0
xmovies.ws,A,203.0.113.250
xmovies.ws,AAAA,2001:db8:1000::fa
xn--41a.ws,A,213.166.69.74
xn--c1ajahiit.ws,A,64.70.19.203
xn--us8haaaa.ws,A,64.70.19.203
xoso.ws,A,104.21.33.180
xoso.ws,A,172.67.191.59
xrpl.ws,A,104.26.0.145
xrpl.ws,A,104.26.1.145
xrpl.ws,A,172.67.74.123
xrpl.ws,AAAA,2606:4700:20::681a:191
xrpl.ws,AAAA,2606:4700:20::681a:91
xrpl.ws,AAAA,2606:4700:20::ac43:4a7b
xtreme.ws,A,104.21.77.108
xtreme.ws,A,172.67.207.45
xtreme.ws,AAAA,2606:4700:3034::ac43:cf2d
xtreme.ws,AAAA,2606:4700:3035::6815:4d6c
x-up.ws,A,203.0.113.250
x-up.ws,AAAA,2001:db8:1000::fa
xxx-games.ws,A,203.0.113.250
xxx-games.ws,AAAA,2001:db8:1000::fa
yalnizmp3.ws,A,104.21.24.29
yalnizmp3.ws,A,172.67.216.127
yalnizmp3.ws,AAAA,2606:4700:3030::6815:181d
yalnizmp3.ws,AAAA,2606:4700:3031::ac43:d87f
yamodamo.ws,A,64.70.19.203
youjizz.ws,A,203.0.113.250
youjizz.ws,AAAA,2001:db8:1000::fa
yourdailypornvideos.ws,A,203.0.113.250
yourdailypornvideos.ws,AAAA,2001:db8:1000::fa
yt2mp3.ws,A,192.155.84.236
yt2mp3.ws,A,23.239.4.93
yt2mp3.ws,A,74.207.241.245
yt2mp3.ws,AAAA,2600:3c01::2000:3aff:feb3:2e94
yt2mp3.ws,AAAA,2600:3c01::f03c:95ff:fe91:5de5
yt2mp3.ws,AAAA,2600:3c01::f03c:95ff:feeb:5ed6
zbarbaekel.ws,A,64.70.19.203
zcloud.ws,A,129.158.211.145
zimages.ws,A,64.70.19.203
zupload.ws,A,208.115.249.237
zzsj.ws,A,64.70.19.203
